CODE_LIGNE,LIB_LIGNE,origin,destination
160000,Ligne de Steinbourg à Schweighouse-sur-Moder,Steinbourg,Schweighouse-sur-Moder
161000,Ligne de Mommenheim à Sarreguemines,Mommenheim,Sarreguemines
163000,Ligne de Sarreguemines vers Sarrebruck,,
167000,Ligne de Réding à Diemeringen,Réding,Diemeringen
168000,Ligne de Berthelming à Sarreguemines,Berthelming,Sarreguemines
169000,Ligne de Kalhausen à Sarralbe,Kalhausen,Sarralbe
172000,Ligne de Rémilly à Stiring-Wendel,Rémilly,Stiring-Wendel
174000,Ligne de Metz-Ville à la frontière allemande vers Ueberherrn,Metz-Ville,la frontière allemande vers Ueberherrn
176000,Ligne de Bouzonville à Guerstling,Bouzonville,Guerstling
177000,Ligne de Thionville à Anzeling,Thionville,Anzeling
178000,Ligne de Thionville à Apach,Thionville,Apach
180000,Ligne de Metz-Ville à Zoufftgen,Metz-Ville,Zoufftgen
180611,Voie-mère de Woippy n° 2,,
186000,Ligne de Bettembourg à Audun-le-Tiche,Bettembourg,Audun-le-Tiche
192000,Ceinture de Metz,,
202000,Ligne de Longuyon à Mont-St-Martin (vers Athus),Longuyon,Mont-St-Martin (vers Athus)
202100,Ligne de Longuyon à Mont-St-Martin (vers Luxembourg),Longuyon,Mont-St-Martin (vers Luxembourg)
204000,Ligne de Mohon à Thionville,Mohon,Thionville
205000,Ligne de Soissons à Givet,Soissons,Givet
207000,Ligne de Bazancourt à Challerange,Bazancourt,Challerange
210000,Ligne d'Amagne-Lucquy à Revigny,,
212000,Ligne d'Hirson à Amagne-Lucquy,,
218000,Ligne de Baroncourt à Audun-le-Roman,Baroncourt,Audun-le-Roman
220000,Ligne de Valleroy-Moineville à Villerupt-Micheville,Valleroy-Moineville,Villerupt-Micheville
222000,Ligne de Liart à Tournes,Liart,Tournes
223000,Ligne de Charleville-Mézières à Hirson,Charleville-Mézières,Hirson
226000,Ligne de Gonesse à Lille-Frontière (LGV),Gonesse,Lille-Frontière (LGV)
226301,Raccordement de Vémars,,
226310,Raccordement d'interconnexion nord-sud (LGV),,
226320,Raccordement d'Annet,,
226321,Raccordement de Messy,,
228000,Ligne de Laon à Liart,Laon,Liart
229000,Ligne de La Plaine à Hirson et Anor (frontière),La Plaine,Hirson et Anor (frontière)
232000,Ligne d'Ormoy-Villers à Boves,,
236000,Ligne de Laon au Cateau,,
238000,Ligne de Busigny à Hirson,Busigny,Hirson
240000,Ligne de Maubeuge à Fourmies,Maubeuge,Fourmies
242000,Ligne de Creil à Jeumont,Creil,Jeumont
242610,Voie-mère de Chauny-St-Gobain,,
242626,Voie-mère de St-Quentin (Origny-Ste-Benoite),,
243300,Raccordement de Rivecourt-Sud,,
243301,Raccordement des Ageux,,
245300,Raccordement de Rivecourt-Nord,,
247000,Ligne d'Hautmont à Feignies (frontière),,
247306,Raccordement de Sous-le-Bois,,
248000,Ligne de Compiègne à Roye-Faubourg-St-Gilles,Compiègne,Roye-Faubourg-St-Gilles
250000,Ligne de Busigny à Somain,Busigny,Somain
259000,Ligne de St-Just-en-Chaussée à Douai,St-Just-en-Chaussée,Douai
261000,Ligne d'Amiens à Laon,,
261306,Raccordement de Lamotte-Brebière,,
272000,Ligne de Paris-Nord à Lille,Paris-Nord,Lille
294000,Ligne d'Armentières à Arques,,
305000,Ligne de St-Roch à Frévent,St-Roch,Frévent
311000,Ligne de Longueau à Boulogne-Ville,Longueau,Boulogne-Ville
315000,Ligne de Montsoult-Maffliers à Luzarches,Montsoult-Maffliers,Luzarches
316000,Ligne de Creil à Beauvais,Creil,Beauvais
317000,Ligne de Rochy-Condé à Soissons,Rochy-Condé,Soissons
319000,Ligne de Breteuil-Embranchement à Breteuil-Ville,Breteuil-Embranchement,Breteuil-Ville
321000,Ligne de St-Roch à Darnétal-Bifurcation,St-Roch,Darnétal-Bifurcation
323000,Ligne d'Abbeville à Eu,,
325000,Ligne d'Épinay-Villetaneuse au Tréport-Mers,,
326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,la bifurcation de Neuville,Cergy-Préfecture
328000,Ligne d'Ermont-Eaubonne à Valmondois,,
329000,Ligne de Pierrelaye à Creil,Pierrelaye,Creil
330000,Ligne de St-Denis à Dieppe,St-Denis,Dieppe
334000,Ligne de Paris-St-Lazare à Mantes-Station par Conflans-Ste-Honorine,Paris-St-Lazare,Mantes-Station par Conflans-Ste-Honorine
334900,Ligne de Paris-St-Lazare à Ermont-Eaubonne,Paris-St-Lazare,Ermont-Eaubonne
336000,Ligne de Conflans-Ste-Honorine à Éragny-Neuville,Conflans-Ste-Honorine,Éragny-Neuville
338000,Ligne d'Achères à Pontoise,,
340000,Ligne de Paris-St-Lazare au Havre,,
340311,Raccordement de Rouen-Martainville,,
342000,Ligne de Gisors-Embranchement à Pont-de-l'Arche,Gisors-Embranchement,Pont-de-l'Arche
